participant_ID,Timestamp,Event,Stimulus,isTarget,isValidation,isRepeat,Button,Accuracy.IR,Accuracy.WR,Reaction_time_IR,Reaction_time_WR,CR_IR,CR_WR
232,1770219453905,Sentence shown,LVL_148_P,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219468667,Sentence shown,HVL_121_P,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219473695,Sentence shown,HH_172_A,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219481487,Sentence shown,LVL_110_A,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219491109,Sentence shown,LVL_109_P,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219496023,Sentence shown,LVL_148_A,TRUE,NA,TRUE,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219496888,IR pressed,LVL_148_A,TRUE,NA,TRUE,Spacebar,1,N/A,865,NA,N/A,N/A
232,1770219498298,WR pressed,LVL_148_A,TRUE,NA,TRUE,No,N/A,1,NA,1410,N/A,N/A
232,1770219499544,Sentence shown,LVH_105_A,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219516952,Sentence shown,HVL_121_P,TRUE,NA,TRUE,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219517754,IR pressed,HVL_121_P,TRUE,NA,TRUE,Spacebar,1,N/A,802,NA,N/A,N/A
232,1770219518298,WR pressed,HVL_121_P,TRUE,NA,TRUE,Yes,N/A,1,NA,544,N/A,N/A
232,1770219519545,Sentence shown,LVL_110_A,TRUE,NA,TRUE,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219520425,IR pressed,LVL_110_A,TRUE,NA,TRUE,Spacebar,1,N/A,880,NA,N/A,N/A
232,1770219520884,WR pressed,LVL_110_A,TRUE,NA,TRUE,Yes,N/A,1,NA,459,N/A,N/A
232,1770219521936,Sentence shown,HH_172_P,TRUE,NA,TRUE,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219523013,IR pressed,HH_172_P,TRUE,NA,TRUE,Spacebar,1,N/A,1077,NA,N/A,N/A
232,1770219524442,WR pressed,HH_172_P,TRUE,NA,TRUE,No,N/A,1,NA,1429,N/A,N/A
232,1770219548789,Sentence shown,LVH_105_A,TRUE,NA,TRUE,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219549657,IR pressed,LVH_105_A,TRUE,NA,TRUE,Spacebar,1,N/A,868,NA,N/A,N/A
232,1770219550225,WR pressed,LVH_105_A,TRUE,NA,TRUE,Yes,N/A,1,NA,568,N/A,N/A
232,1770219551087,Sentence shown,LVL_109_P,TRUE,NA,TRUE,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219551914,IR pressed,LVL_109_P,TRUE,NA,TRUE,Spacebar,1,N/A,827,NA,N/A,N/A
232,1770219552417,WR pressed,LVL_109_P,TRUE,NA,TRUE,Yes,N/A,1,NA,503,N/A,N/A
232,1770219560911,Sentence shown,LVH_107_P,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219565796,Sentence shown,HH_142_A,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219582491,Sentence shown,LVH_181_P,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219587791,Sentence shown,HVL_116_A,TRUE,NA,NA,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219602373,Sentence shown,LVH_107_A,TRUE,NA,TRUE,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219603318,IR pressed,LVH_107_A,TRUE,NA,TRUE,Spacebar,1,N/A,945,NA,N/A,N/A
232,1770219605336,WR pressed,LVH_107_A,TRUE,NA,TRUE,No,N/A,1,NA,2018,N/A,N/A
232,1770219613872,Sentence shown,HH_142_A,TRUE,NA,TRUE,N/A,N/A,N/A,NA,NA,N/A,N/A
232,1770219614699,IR pressed,HH_142_A,TRUE,NA,TRUE,Spacebar,1,N/A,826,NA,N/A,N/A
